"is_apartment","is_house","less_than_10_years_old","more_than_20_years_old","between_10_and_20_years_old","garages","administration_price","baths","lat","lng","price","price_m2","rooms","total_area_m2"
1,0,0,0,1,0,110000,2,4.642426013946533,-74.12599182128906,265000000,4274193.0,3,62.0
1,0,1,0,0,0,127000,1,4.6233601570129395,-74.07525634765625,218000000,6411764.0,1,34.0
1,0,0,1,0,2,588000,2,4.726386070251465,-74.03800201416016,420000000,4375000.0,3,96.0
1,0,0,1,0,1,315200,3,4.657021999359131,-74.1103515625,600000000,6185567.0,4,97.0
1,0,0,0,1,2,420000,2,4.730597496032715,-74.03682708740234,545000000,4909909.0,3,111.0
0,1,0,0,1,1,349000,3,4.728774070739746,-74.03282165527344,409000000,3970873.0,3,103.0
1,0,0,1,0,1,240000,2,4.742000102996826,-74.0479965209961,245000000,4152542.0,3,59.0
1,0,0,0,1,1,210000,2,4.739198207855225,-74.03437805175781,235000000,4051724.0,3,58.0
1,0,1,0,0,2,362000,2,4.727761745452881,-74.043212890625,460000000,6865671.0,2,67.0
1,0,0,0,1,2,460000,4,4.7309699058532715,-74.03531646728516,828000000,4335078.0,3,191.0
1,0,0,0,1,1,330000,2,4.667782783508301,-74.1261215209961,495000000,5322580.0,2,93.0
1,0,1,0,0,0,172000,2,4.66023063659668,-74.12202453613281,290000000,6444444.0,3,45.0
1,0,1,0,0,2,450000,3,4.7179999351501465,-74.03299713134766,485000000,5215053.0,3,93.0
1,0,0,0,1,1,350000,2,4.635690212249756,-74.06573486328125,395000000,6583333.0,2,60.0
1,0,0,1,0,1,248000,2,4.650750160217285,-74.08646392822266,450000000,3750000.0,4,120.0
1,0,0,0,1,1,250000,2,4.75600004196167,-74.04299926757812,420500000,4163366.0,3,101.0
1,0,1,0,0,2,397000,3,4.727444648742676,-74.04464721679688,459000000,6202702.0,2,74.0
1,0,0,0,1,1,300000,2,4.748887062072754,-74.0615234375,395000000,4247311.0,3,93.0
1,0,0,1,0,1,80000,2,4.6716628074646,-74.1192626953125,350000000,4166666.0,3,84.0
1,0,0,1,0,1,330000,3,4.733644962310791,-74.03279876708984,480000000,4615384.0,3,104.0
1,0,0,1,0,1,230000,3,4.750879764556885,-74.06600189208984,400000000,4761904.0,3,84.0
1,0,1,0,0,1,400000,2,4.7270708084106445,-74.0289077758789,550000000,6111111.0,3,90.0
0,1,0,0,1,1,270000,3,4.747669219970703,-74.03328704833984,490000000,3858267.0,3,127.0
1,0,1,0,0,1,271000,2,4.752999782562256,-74.05999755859375,310000000,4428571.0,2,70.0
1,0,0,1,0,1,379000,4,4.674723148345947,-74.06771850585938,429000000,3545454.0,3,121.0
1,0,0,0,1,1,240000,2,4.724208831787109,-74.05911254882812,308700000,4979032.0,3,62.0
1,0,0,0,1,1,290000,2,4.720261573791504,-74.03849029541016,320000000,5000000.0,3,64.0
1,0,0,1,0,0,116000,2,4.668000221252441,-74.13400268554688,199900000,4543181.0,2,44.0
